Protein_A,Protein_B
GOLGA5,Orf3b
GOPC,Orf3b
GOPC,E
GOPC,Spike
GOSR1,Orf6
GOSR1,Orf3b
GPAA1,PIGS
GRP75,BAG5
GRSF1,N
GRSF1,Nsp9
GSK3A,N
GSK3B,N
GSK3B,GSK3A
HACD3,Nsp14
HACD3,Nsp5
HAVR1,Spike
HDAC2,Nsp13
HJURP,Nsp7
HPGD,Nsp15
HSP90B1,Orf8
HSPA1A,Nsp4
HSPA1A,N
HSPA1A,E
HSPA1A,M
HSPA5,Orf8
HSPA8,E
HSPA8,M
HSPA9,Orf9b
HSPD1,E
IBP4,NUCB1
IBP4,STC2
IGF2BP1,N
IGF2BP3,N
IGF2R,Orf3b
IGFBP4,Orf8
IKBIP,Orf8
IPO11,Nsp10
IRF2BPL,Nsp10
ISCU,Orf9b
ITGAL,Orf7a
ITGB1,Orf6
ITGB1,Nsp4
ITGB1,Orf3b
ITGB1,Orf7a
ITGB1,Spike
ITGB5,Orf6
JAK1,Nsp7
KIF11,RAB1A
KIF11,Orf6
KNL1,Nsp9
KPNA2,Orf6
KPRP,Nsp1
LARP1,PABPC1
LARP4B,Nsp9
LAS1L,Nsp7
LDHA,M
LDHA,Nsp6
LDHB,Nsp6
LDHB,LDHA
LGALS3,Spike
LGALS7,Spike
LGALS8,Spike
LEMD3,Orf6
LEMD3,Nsp4
LEMD3,E
LIS1,RAB8A
LMAN2,RAB1A
LRRC59,Spike
LSG1,N
LSM14A,Nsp9
LSM14B,Nsp9
M,AAR2
M,AASS
M,ACADM
M,AKAP8L
M,ANO6
M,ATP1B1
M,ATP6V1A
M,BZW2
M,COQ8B
M,ETFA
M,FAM8A1
M,FASTKD5
M,GGCX
M,INTS4
M,PITRM1
M,PMPCA
M,PMPCB
M,PSMD8
M,REEP5
M,REEP6
M,RTN4
M,SAAL1
M,SLC25A21
M,SLC30A7
M,SLC30A9
M,STOM
M,TARS2
M,TUBGCP2
M,TUBGCP3
M,YIF1A
MAN1,EMD
MARK1,MARK2
MARK3,MARK2
MAVS,Orf9b
MAVS,M
MAVS,Nsp7
MBOAT7,Nsp10
MBOAT7,Nsp15
MBOAT7,Nsp14
MCM4,Nsp8
MCM7,Nsp7
MCM7,MCM4
MCM7,Nsp8
MEPCE,LARP7
MFF,Orf9b
MGA,Nsp8
MGST1,Orf3a
MIA3,Orf8
MOV10,PABPC1
MOV10,RPL36
MPP10,AATF
MPP10,NGDN
MPP10,NOL10
MPP5,E
MPRI,STX10
MPRI,VAMP3
MRPS2,MRPS25
MRPS2,MRPS27
MRPS2,MRPS5
MRPS25,MRPS27
MRPS25,MRPS5
MRPS27,MRPS5
MTDH,Nsp4
MTDH,Orf7a
MTFR1,Orf9b
MTFR1L,Orf9b
MTR,Nsp8
MYOF,Orf3b
N,CSNK2A2
N,CSNK2B
N,DDX21
N,FAM98A
N,G3BP1
N,G3BP2
N,LARP1
N,MOV10
N,PABPC1
N,PABPC4
N,RBM28
N,RPL36
N,RRP9
N,SNIP1
N,UPF1
NARS1,Nsp2
NDC1,E
NDUFS1,Nsp9
NDUFS1,Orf9b
NEDD1,Orf3a
NEK9,NUP54
NEK9,NUP62
NEK9,NUP88
NENF,Orf8
NENF,PDIA4
NEU1,ERP44
NEU1,GGH
NGDN,NOL10
NIN,CEP112
NIN,CEP135
NIN,CEP250
NIN,CEP350
NIN,CEP68
NIN,CNTRL
NINL,AKAP9
NINL,CEP112
NINL,CEP135
NINL,CEP250
NINL,CEP350
NINL,CEP68
NINL,CNTRL
NINL,NIN
NINL,PCNT
NPC2,GGH
NRIP1,Nsp7
NRP1,Spike
Nsp1,COLGALT1
Nsp1,PKP2
Nsp1,POLA1
Nsp1,POLA2
Nsp1,PRIM1
Nsp1,PRIM2
Nsp10,AP2A2
Nsp10,AP2M1
Nsp10,ERGIC1
Nsp10,GFER
Nsp10,GRPEL1
Nsp11,TBCA
Nsp12,AKAP8
Nsp12,BCKDK
Nsp12,CRTC3
Nsp12,LARP4B
Nsp12,MYCBP2
Nsp12,PDZD11
Nsp12,PLEKHA5
Nsp12,PPIL3
Nsp12,PRRC2B
Nsp12,RBM41
Nsp12,RIPK1
Nsp12,SBNO1
Nsp12,SLU7
Nsp12,TCF12
Nsp12,TYSND1
Nsp12,UBAP2
Nsp12,UBAP2L
Nsp12,USP54
Nsp12,ZC3H7A
Nsp12,ZNF318
Nsp13,AKAP9
Nsp13,CDK5RAP2
Nsp13,CENPF
Nsp13,CEP112
Nsp13,CEP135
Nsp13,CEP250
Nsp13,CEP350
Nsp13,CEP43
Nsp13,CEP68
Nsp13,CIT
Nsp13,CLIP4
Nsp13,CNTRL
Nsp13,ERC1
Nsp13,FYCO1
Nsp13,GCC1
Nsp13,GCC2
Nsp13,GOLGA2
Nsp13,GOLGA3
Nsp13,GOLGB1
Nsp13,GORASP1
Nsp13,GRIPAP1
Nsp13,HOOK1
Nsp13,HSBP1
Nsp13,JAKMIP1
Nsp13,MIPOL1
Nsp13,NIN
Nsp13,NINL
Nsp13,PCNT
Nsp13,PDE4DIP
Nsp13,PRKACA
Nsp13,PRKAR2A
Nsp13,PRKAR2B
Nsp13,RDX
Nsp13,TBK1
Nsp13,TBKBP1
Nsp13,TLE1
Nsp13,TLE3
Nsp13,TLE5
Nsp13,USP13
Nsp14,GLA
Nsp14,IMPDH2
Nsp14,SIRT5
Nsp15,ARF6
Nsp15,NUTF2
Nsp15,RNF41
Nsp2,EIF4E2
Nsp2,FKBP15
Nsp2,GIGYF2
Nsp2,POR
Nsp2,RAP1GDS1
Nsp2,SLC27A2
Nsp2,WASHC4
Nsp4,ALG11
Nsp4,DNAJC11
Nsp4,IDE
Nsp4,NUP210
Nsp4,TIMM10
Nsp4,TIMM10B
Nsp4,TIMM29
Nsp4,TIMM9
Nsp5,HDAC2
Nsp6,ATP13A3
Nsp6,ATP5MG
Nsp6,ATP6AP1
Nsp6,SIGMAR1
Nsp7,ACSL3
Nsp7,AGPS
Nsp7,COMT
Nsp7,CYB5B
Nsp7,CYB5R3
Nsp7,DCAKD
Nsp7,DNAJC19
Nsp7,FAM162A
Nsp7,GNB1
Nsp7,GNG5
Nsp7,HS2ST1
Nsp7,LMAN2
Nsp7,MOGS
Nsp7,MTARC1
Nsp7,NAT14
Nsp7,NDUFAF2
Nsp7,PTGES2
Nsp7,QSOX2
Nsp7,RAB10
Nsp7,RAB14
Nsp7,RAB18
Nsp7,RAB1A
Nsp7,RAB2A
Nsp7,RAB5C
Nsp7,RAB7A
Nsp7,RAB8A
Nsp7,RALA
Nsp7,RHOA
Nsp7,SCARB1
Nsp7,SCCPDH
Nsp7,SELENOS
Nsp7,TOR1AIP1
Nsp8,AATF
Nsp8,ATE1
Nsp8,CCDC86
Nsp8,DDX10
Nsp8,EXOSC2
Nsp8,EXOSC3
Nsp8,EXOSC5
Nsp8,EXOSC8
Nsp8,HECTD1
Nsp8,LARP7
Nsp8,MEPCE
Nsp8,MPHOSPH10
Nsp8,MRPS2
Nsp8,MRPS25
Nsp8,MRPS27
Nsp8,MRPS5
Nsp8,NARS2
Nsp8,NGDN
Nsp8,NOL10
Nsp8,NSD2
Nsp8,SEPSECS
Nsp8,SRP19
Nsp8,SRP54
Nsp8,SRP72
Nsp9,DCAF7
Nsp9,EIF4H
Nsp9,FBLN5
Nsp9,FBN1
Nsp9,FBN2
Nsp9,GTF2F2
Nsp9,MAT2B
Nsp9,MIB1
Nsp9,NEK9
Nsp9,NUP214
Nsp9,NUP54
Nsp9,NUP58
Nsp9,NUP62
Nsp9,NUP88
Nsp9,SPART
Nsp9,ZNF503
NUP214,NEK9
NUP214,NUP54
NUP214,NUP62
NUP214,NUP88
NUCB1,Orf8
NUP214,NUP58
NUP42,Orf6
NUP54,NUP62
NUP54,NUP88
NUP58,NUP54
NUP58,NUP62
NUP58,NUP88
NUP62,NUP88
OCIAD1,Orf9b
Orf10,CUL2
Orf10,ELOB
Orf10,ELOC
Orf10,MAP7D1
Orf10,PPT1
Orf10,RBX1
Orf10,THTPA
Orf10,TIMM8B
Orf10,ZYG11B
Orf3a,ALG5
Orf3a,ARL6IP6
Orf3a,CLCC1
Orf3a,HMOX1
Orf3a,SUN2
Orf3a,TRIM59
Orf3a,VPS11
Orf3a,VPS39
Orf3b,STOML2
Orf6,MTCH1
Orf6,NUP98
Orf6,RAE1
Orf7a,HEATR3
Orf7a,MDN1
Orf8,ADAM9
Orf8,ADAMTS1
Orf8,CHPF
Orf8,CHPF2
Orf8,CISD3
Orf8,COL6A1
Orf8,DNMT1
Orf8,EDEM3
Orf8,EMC1
Orf8,ERLEC1
Orf8,ERO1B
Orf8,ERP44
Orf8,FBXL12
Orf8,FKBP10
Orf8,FKBP7
Orf8,FOXRED2
Orf8,GDF15
Orf8,GGH
Orf8,HS6ST2
Orf8,HYOU1
Orf8,IL17RA
Orf8,INHBE
Orf8,ITGB1
Orf8,LOX
Orf8,MFGE8
Orf8,NEU1
Orf8,NGLY1
Orf8,NPC2
Orf8,NPTX1
Orf8,OS9
Orf8,PCSK6
Orf8,PLAT
Orf8,PLD3
Orf8,PLEKHF2
Orf8,PLOD2
Orf8,POFUT1
Orf8,POGLUT2
Orf8,POGLUT3
Orf8,PUSL1
Orf8,PVR
Orf8,SDF2
Orf8,SIL1
Orf8,SMOC1
Orf8,STC2
Orf8,TM2D3
Orf8,TOR1A
Orf8,UGGT2
Orf9b,BAG5
Orf9b,CHMP2A
Orf9b,CSDE1
Orf9b,DCTPP1
Orf9b,DPH5
Orf9b,MARK1
Orf9b,MARK2
Orf9b,MARK3
Orf9b,PTBP2
Orf9b,SLC9A3R1
Orf9b,TOMM70
Orf9c,ABCC1
Orf9c,ACAD9
Orf9c,ALG8
Orf9c,BCS1L
Orf9c,DPY19L1
Orf9c,ECSIT
Orf9c,ERMP1
Orf9c,F2RL1
Orf9c,FAR2
Orf9c,GHITM
Orf9c,GPAA1
Orf9c,NDFIP2
Orf9c,NDUFAF1
Orf9c,NDUFB9
Orf9c,NLRX1
Orf9c,PIGO
Orf9c,PIGS
Orf9c,RETREG3
Orf9c,SCAP
Orf9c,SLC30A6
Orf9c,TAPT1
Orf9c,TMED5
Orf9c,TMEM39B
Orf9c,TMEM97
Orf9c,UBXN8
Orf9c,WFS1
P4HB,Orf3b
P4HB,Orf8
PABP1,G3BP1
PABP1,G3BP2
PAFAH1B1,Nsp14
PAIP1,Nsp2
PCNT,CEP112
PCNT,CEP135
PCNT,CEP250
PCNT,CEP350
PCNT,CEP68
PCNT,NIN
PDIA1,CALR
PDIA1,GANAB
PDIA1,NUCB1
PDIA1,OS9
PDIA1,PDIA3
PDIA1,PPIB
PDIA1,PRDX4
PDIA1,STC2
PDIA1,TXNL1
PDIA3,Orf8
PDIA3,CALR
PDIA4,Orf8
PDIA4,PPIB
PDXDC1,Orf6
PDXDC1,Spike
PFN1,M
PHACTR2,Nsp2
PHB,Nsp2
PHB,Nsp8
PHB,PHB2
PHB2,Nsp2
PHGDH,Nsp10
PKM,M
PKM,Nsp6
PNPT1,Orf9b
PNPT1,Nsp15
POLA1,POLA2
POLA1,PRIM1
POLA1,PRIM2
POLA2,PRIM1
POLA2,PRIM2
POLR3A,Nsp8
PPHLN1,Nsp10
PPHLN1,Nsp15
PPIB,Orf8
PPIB,PDIA3
PPIL3,SLU7
PPM1B,Orf9b
PPM1B,Nsp7
PPP1CC,Nsp2
PRDX4,Orf8
PRDX4,ERP44
PRDX4,PDIA3
PRIM1,PRIM2
PRKACA,PRKAR2A
PRKAR2A,PRKAR2B
PRKRA,N
PRRC2A,N
PRRC2B,Nsp1
PRSS1,Nsp1
PSMB4,Nsp15
PSMC1,Nsp8
PSMC3,Orf6
